Project ID,ISO,Status,Queue Date,Withdrawn Date,Proposed Date,State,County,Zone,MW Capacity,Fuel Type,Transmission Owner,Service Type,Study Cycle,Study Group,Name,Study Phase,POI Name,Developer,Done Date,POI,Completion Probability,Latitude,Longitude,Screening Started Date,Screening Complete Date,FIS Requested Date,FIS Approved Date,IA Signed Date,Construction Start Date,Construction End Date,Approved Energization Date,Approved Sync Date,Latest Milestone,Latest Milestone Date,Milestones
GI-TC-2024-20,SPP,Active,2024-05-29 00:00:00,,2030-09-02 00:00:00,CO,Lincoln County,,250.00,Solar,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-19,SPP,Active,2024-05-07 00:00:00,,2027-05-03 00:00:00,CO,Montrose County,,100.00,Storage,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-18,SPP,Active,2024-05-29 00:00:00,,2029-08-02 00:00:00,CO,Montezuma County,,100.00,Storage,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-17,SPP,Active,2024-05-29 00:00:00,,2030-07-02 00:00:00,CO,Kit Carson County,,225.00,Solar,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-16,SPP,Active,2023-05-16 00:00:00,,2029-06-30 00:00:00,WY,Laramie County,,400.00,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-15,SPP,Active,2024-05-23 00:00:00,,2029-09-30 00:00:00,WY,Laramie County,,250.00,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-14,SPP,Active,2023-05-31 00:00:00,,2031-04-02 00:00:00,CO,Weld County,,206.01,Solar,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-12,SPP,Done,2024-05-21 00:00:00,,2027-03-01 00:00:00,CO,Yuma County,,170.00,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-11,SPP,Active,2024-05-29 00:00:00,,2027-12-31 00:00:00,CO,Kit Carson County,,166.60,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-10,SPP,Active,2024-05-23 00:00:00,,2026-03-05 00:00:00,CO,Kit Carson County,,199.00,Solar,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-09,SPP,Active,2023-05-26 00:00:00,,2028-12-05 00:00:00,CO,Yuma County,,199.00,Solar,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-08,SPP,Active,2023-05-26 00:00:00,,2027-12-31 00:00:00,CO,Kit Carson County,,150.00,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
